12.7479525469,77.4996989127,ravogodlu  ravgodlu in front of govt.higher primary school
12.7480055206,77.447449984,kodipalya kodidoddi palya in front of kodipalya kere
12.748042244,77.4998148353,ravugodlu  ravgodlu opposite of govt.higher primary school
12.7482131398,77.5365056905,muninagara muni nagara in front of maramma temple
12.7482139785,77.4797670823,thokathimmanadoddi tokathimana doddi in front of sai temple
12.7482808093,77.5364243478,muninagara in front of government higher primary school
12.7486447662,77.4866284658,ravugodlu cross ravgodlu in front of aralimara
12.7486488316,77.4284567591,matada bailu byramangala opposite of veterinary hospital
12.7488008757,77.6597847419,kumbarahalli open area
12.7488095645,77.4241898883,byramangala byramangala beside sri venkateswara bakery and sweets
12.7488213312,77.4244843237,byramangala byramangala opposite of bharath sweets & bakery
12.7488339301,77.486681873,ravugodlu cross ravgodlu beside open area
12.74883,77.65028,nosenoor
12.7488533327,77.4243371568,byramangala
12.7490101624,77.6600422339,kumbarahalli open area
12.7493071463,77.512395652,gundanjaneya swamy temple ravgodlu in front of anjaneya temple
12.750376039,77.7469433931,mayasandra anekal taluk opposite of sri droupathamma devi temple
12.7504107915,77.7480088547,mayasandra anekal taluk in front of government primary school
12.7507329459,77.4728996435,jettipalya jattipalya in front of door no-27
12.7521260949,77.7065466863,begadadevanahalli anekal taluk in front of government primary school
12.7521420498,77.7064990155,begadadevanahalli anekal taluk opposite of government primary school
12.7522050217,77.7067289036,begadadevanahalli anekal taluk opposite of government primary school
12.7531869271,77.7307019329,shettihalli anekal taluk in front of milk product co-operative society
12.7535456777,77.4521287552,gollahalli h.gollahalli in front of door no-65
12.7536044092,77.4519680948,gollahalli h.gollahalli opposite of door no-65
12.7537316844,77.4844236856,bolare bolare beside krista karune tent house
12.7538383193,77.4846285023,bolare bolare in front of genaral stores
12.75388781,77.4478096127,kodipalya cross kodidoddi palya opposite of jnana sagar primary school
12.75389,77.64288,nosenoor cross
12.7540029862,77.7559559394,harohalli anekal taluk opposite of sri yallamma devi temple & in front of sumant store
12.75406,77.64278,nosenoor cross
12.7541454932,77.4478704762,kodi palya cross gollahalli kodidoddi palya in front of jnana sagar primary school
12.7542612624,77.7876358641,ballur attibele post-anekal taluk beside sri lakshminaraya swamy temple
12.75466,77.6121,yellammanadoddi
12.7556530852,77.6836602297,lingapura cross anekal taluk near g.v.s.college
12.7562855836,77.4363522604,bannigiri banigiri beside nisarga furniture works
12.7563771401,77.5283835032,mukkodlu muni nagara opposite of maramma temple
12.756432686,77.480696803,veerasandra veerasandra in front of milk dairy
12.7564486116,77.5284182467,mukkodlu mukkodlu in front of kabalamma temple
12.7566504538,77.4046866949,ittamadu ittamadu opposite of milk dairy
12.75667,77.62461,giddenahalli
12.757195523,77.7617439441,bhakthipura anekal taluk beside open area & field
12.75735,77.794387,dasanapura balluru near attibele
